y,U_0,U_1,U_2
0.1547195318069489,1.099269901010664,-0.1414680554584372,1.181415803300438e-16
0.1484934079804426,1.095507190275657,-0.1451455500511441,1.22729947587406e-16
0.1437377174984872,1.092022436205049,-0.1480504430784605,8.615787319826851e-17
0.1380145878120095,1.086332148713189,-0.1515951943242149,2.057546224806595e-16
0.1333064216019704,1.079620829941677,-0.1545584190471536,1.398576979849259e-17
0.1280460483596405,1.070294411267393,-0.157816135280843,1.308866635822372e-16
0.1233851685696792,1.056341273278134,-0.1603198142168138,-2.485617369377141e-17
0.1185504801454307,1.040167109147715,-0.1628754528541086,-2.400869629765376e-16
0.1139366981600448,1.012314925678723,-0.1641623737893496,-4.331038560407449e-17
0.1094934735218333,0.9839210964663074,-0.1653080091512409,-8.128474019735296e-16
0.1049265990034377,0.9377116593423802,-0.1640497511830898,-1.222876319590599e-16
0.1008432033179303,0.8934850433615004,-0.1624680147183268,-1.348094580076499e-15
0.09632302006902742,0.8268191052238644,-0.1573332462906614,-3.783598796317332e-16
0.09257034960366786,0.7657643260415768,-0.1518828277103357,-1.458372910889147e-15
0.08809667049541087,0.6769462957821291,-0.1417747124626029,-8.271846488264053e-16
0.08464799527842595,0.6039425518382071,-0.1324572347780104,-1.111208713936091e-15
0.08022070567284388,0.5052626748462621,-0.1183950726679801,-1.709100052932105e-15
0.07705142652794093,0.4361917248438111,-0.1074916021022123,-4.63624372691889e-16
0.0735156174200772,0.3597681506514424,-0.09494822097512465,-3.256834627833086e-15
0.06975849747929203,0.2886756289185571,-0.08218971157954577,-6.691745341957064e-16
0.06708280512601229,0.2406475849728684,-0.07339698306644658,-1.613969767373134e-15
0.06279327237673288,0.1715866415303422,-0.06032068740161277,-2.162877691896257e-15
0.06028911689425946,0.1366200500429956,-0.05352626227642448,-3.282430756360063e-17
0.05803032402908392,0.1070438372243367,-0.04770751230187288,-1.460620725955668e-15
0.05374171862922937,0.0568895607695073,-0.03770198924528148,-1.022598805317452e-15
0.05166572837974044,0.03447477470665922,-0.03320028364528959,-4.288464776167385e-19
0.04975802459483428,0.01441712623446339,-0.02915803213355261,-4.711739455790124e-16
0.04609903293147097,-0.02272058866283237,-0.02168061416971218,-2.218234173210794e-17
0.04376428807153837,-0.04514240199402741,-0.01720075848757025,1.449772028428511e-16
0.04215469614136524,-0.0603942926734892,-0.01415677311564766,2.853868364121795e-16
0.03964882904061102,-0.08377091965483122,-0.009493885379611626,1.924414485608247e-15
0.03681126019441651,-0.1087773272771306,-0.004530332624223248,1.640740609642145e-15
0.03512089942872199,-0.1232005125657242,-0.001671418295828798,3.527529800073406e-16
0.03387296807597302,-0.133729061620993,0.0004180802724419728,1.028520792906511e-15
0.0318101339091347,-0.1508961676104555,0.00383044796116106,4.065852131408854e-15
0.02961031524664189,-0.1684607531084132,0.007322859198102013,4.996405984439305e-15
0.02758908780048866,-0.1839504135595282,0.01040805253273235,1.994308952980055e-15
0.02655539007393853,-0.1917503991377941,0.01196637610440184,1.324196465951132e-16
0.02566674219406525,-0.198402223902755,0.0132993046059466,1.72035591487043e-15
0.02402752792888193,-0.2105298464905623,0.01573769820471612,5.603224594618861e-15
0.02246103188498784,-0.2218396238889913,0.0180213092750367,9.853617322857809e-15
0.02102182486445347,-0.2318468335827845,0.02004914214239164,7.1703997469694e-15
0.01969958341526887,-0.2408591553179585,0.02188426136775317,3.913315482985797e-15
0.01867443938364433,-0.2477362399994271,0.02329074017217863,1.134157373653958e-15
0.01809293527877619,-0.2516137914183647,0.0240866931068464,5.664726046272916e-16
0.01736950966771485,-0.25641767129186,0.02507609725887459,2.839959809556969e-15
0.01634502583623388,-0.263135204586493,0.02646458209247228,6.241467339392725e-15
0.01540384839494516,-0.2692059348671749,0.02772504777912722,9.56456408942868e-15
0.01453921041675513,-0.2746947681937639,0.0288697984347285,1.278289500051557e-14
0.01374489310621622,-0.2796270215702266,0.02990296639316502,1.259000438349829e-14
0.01301518159434461,-0.284070859030102,0.03083826254752589,1.024085502968013e-14
0.01234482426581704,-0.288090819120929,0.03168873541894975,7.982242579085109e-15
0.01172899534099892,-0.2917232851465243,0.0324615353339029,5.823404342034355e-15
0.01116326045615287,-0.2950003663646555,0.03316306360662252,3.770135407994075e-15
0.01064354500478456,-0.2979504518072719,0.03379905463493991,1.825822649107112e-15
0.01028146205853453,-0.2999670981883161,0.03423675086711345,4.403186334346908e-16
0.01005295519611165,-0.3012226180314883,0.03451088402495105,4.596430463270251e-16
0.009727853824257053,-0.3029813797796623,0.03489748629047299,1.774431366776554e-15
0.00932524717394805,-0.3051013236625033,0.03536807757457328,3.42812178647615e-15
0.008955384806068551,-0.3069766311141461,0.0357903387164261,4.972386135128708e-15
0.008615600318417151,-0.3086232432149002,0.03616776051780438,6.410795082765379e-15
0.008303443802123413,-0.3100552038746553,0.03650347398169046,7.747293524805677e-15
0.008016664260692259,-0.3112848359280765,0.03680028662835121,8.986247030178286e-15
0.00775319344836446,-0.3123228856946156,0.0370607036768095,1.013215426219931e-14
0.0075111310136545,-0.3131786373718418,0.03728695448896208,1.118957691636013e-14
0.007288730843118638,-0.313860001376105,0.03748100573657459,1.216303080349133e-14
0.0070843885083467,-0.3143735754062715,0.03764458734772994,1.305695225662172e-14
0.006896629727432988,-0.314724683147427,0.0377791917898208,1.38756645429367e-14
0.006724099758908614,-0.3149173855749014,0.03788609088255358,1.462332906036943e-14
