y,profileRefFieldInversion
0.1565801053951522,1.038954135195181
0.1511734156687062,1.029546701517401
0.1474649762354288,1.02284841841285
0.1417416754685623,1.010820354131564
0.1376629529001335,0.9993124568443053
0.1339366921822633,0.9888459654524553
0.1283454149422633,0.9699868450985754
0.1246030462848575,0.9560416712679809
0.1194671587028575,0.9357927749756517
0.1157037676871231,0.9188700045541593
0.1117732296585405,0.9012388825958986
0.1071967525784174,0.8774467533614185
0.1033761649483535,0.8572302113834085
0.09904280768015347,0.8318877051439667
0.09518581313438228,0.808482358398354
0.09120539217288226,0.7823162704635032
0.08730660885144828,0.7555913598853927
0.08365037870589828,0.7290232124545836
0.0797042752462909,0.6995455394210561
0.07634583164194089,0.6730861843929867
0.0726678879681,0.6436239806581199
0.0692618010693581,0.6146050781548179
0.0664281446945081,0.5901858361948358
0.06237013102550328,0.5550728939295611
0.05976726520595327,0.5327393381230324
0.05631906033714996,0.5030594191626339
0.05325340828397307,0.4771599415450326
0.05105726301827308,0.4585361819233452
0.04751861932554999,0.4288956373065982
0.04484573399894422,0.4078674922187552
0.042992767799353,0.3934109299822537
0.04009336295733583,0.3712541536299198
0.03701870880875101,0.3488849851493546
0.03545556129428118,0.3373918321962182
0.03383082570569158,0.324987803434146
0.03107894799783297,0.3038180937362307
0.02855065426569335,0.2852671079912928
0.02714154702620035,0.2752861995329358
0.02603102095145984,0.267463490542772
0.02409878156353065,0.2540199329473832
0.02214103341520506,0.2408645258360071
0.02034195275410922,0.2293062894010278
0.01877210105591628,0.2193979217350966
0.01798051857526632,0.2144774667842125
0.01717054137796128,0.2095130586121455
0.01577597925298599,0.2011644957434578
0.01449437358670234,0.1936563619629565
0.01331661877992195,0.186800945928354
0.01223433631391715,0.1806251272832426
0.01123981770957532,0.1750658055523731
0.01032597180854616,0.1700654924185406
0.009486276070847698,0.1655136110846018
0.009028251180200352,0.1630199170104496
0.008658927009440865,0.1609675982972373
0.008006196693090434,0.157293254149945
0.007355053969985733,0.1535481811111457
0.006756754844021069,0.1500014949329724
0.006207020873972294,0.1466286921825498
0.005701917793328881,0.143448802948433
