y,U_0,U_1,U_2
0.1569991595371469,1.143528796757574,-0.09884884407626512,-2.128784895341848e-15
0.1514928039815978,1.133603980968908,-0.09954657313743281,-4.9693527117291e-16
0.1474915783190362,1.126282429175438,-0.1000589390884298,-4.526632972507929e-16
0.1413589173349173,1.113590781731336,-0.1007976950535787,-6.745578726943694e-16
0.1374089223808515,1.104072282193412,-0.1012233115415097,-8.62227006904667e-18
0.1331456880906793,1.093793428179691,-0.1017001725906982,-1.394918461884571e-16
0.1278857919952848,1.071207647007056,-0.1019752750808804,-5.279309696051223e-17
0.1240387200468325,1.05303547126345,-0.1021522236523219,2.570308038940176e-16
0.1188791298883904,1.014096908338924,-0.1019267203393301,2.687647122908374e-16
0.1150835645957128,0.9741833521630249,-0.1013946114689283,3.040732411858268e-16
0.1103494408276766,0.9194687592964056,-0.1001516423559007,1.027083405179439e-15
0.1066050128538125,0.8634049159412993,-0.09763728916140194,7.508941708201922e-17
0.1027789543601567,0.8063886736475659,-0.09507849293756722,2.329830704040098e-15
0.09856638666544597,0.7401223544580053,-0.09064979992128011,3.114128637048348e-16
0.09492185587558802,0.6825532192601894,-0.08669635374899118,3.334054022815476e-15
0.09093234467249024,0.6189666632440036,-0.08180270024431828,9.443122723809798e-16
0.08733646087082492,0.5613534060108082,-0.07726269225182567,4.855476951895761e-15
0.0836719661529513,0.502217000984443,-0.0723521777721241,1.705420129890146e-15
0.08012385942046649,0.4446386088057561,-0.0675063839020215,6.819306922634637e-15
0.07675722292339174,0.3911526597555776,-0.06275252790611287,1.997207023132049e-15
0.07325709184042604,0.3357833736596899,-0.05775896007084434,9.489111979786821e-15
0.07016420246223162,0.2897036982014159,-0.05337727224378898,1.192342220123547e-15
0.06697939818466969,0.2424047225532593,-0.0488519927355317,1.404790860510102e-14
0.06387101512485886,0.2013110566581782,-0.04471798179730475,1.224074285725809e-15
0.06126098262179797,0.1673300668046517,-0.04129113227604143,1.051018720239244e-14
0.05785761909811539,0.1276797178572112,-0.03720132643714213,4.922002205252196e-15
0.05546010981262961,0.1015602555072198,-0.03449520849806779,5.998026859864916e-15
0.05210560349427089,0.06793765240835244,-0.03099543039739257,8.951846608342273e-15
0.0499032908988759,0.04785705560357435,-0.02890126685739869,7.818964269989377e-16
0.04769524861826513,0.02822163613230666,-0.02684962728674731,9.630492576283194e-15
0.04457419954038594,0.002641481507385818,-0.02419683811460826,4.171410485066973e-15
0.04271556197164945,-0.01202400965717839,-0.02268004472858546,2.700645834418876e-15
0.04024725880396879,-0.03114904284419981,-0.02070068039577279,1.050076590301444e-14
0.03775019083273624,-0.04887265849296775,-0.01889196361186746,2.34085931972984e-15
0.03618129662030289,-0.05982833933083041,-0.01777458120792655,2.122006640492197e-15
0.03396041470689753,-0.07507554461803881,-0.01621997313140495,7.29633536087514e-15
0.0315296532794566,-0.09052415514714027,-0.01465780877559962,2.159640734692357e-15
0.03020528962549806,-0.09876602730370918,-0.01382332344856069,6.614844204705204e-16
0.02865306845775183,-0.1083119661467055,-0.01285519415922155,3.289398504453318e-15
0.02631787433066043,-0.1220187688155527,-0.01146538521522226,3.24748478320871e-15
0.02470702501938139,-0.131004742966828,-0.0105527368573351,6.651518896402093e-16
0.02367978329170092,-0.1366770804685855,-0.00997420627087604,6.303344056239664e-16
0.02220154374701857,-0.1447548258788881,-0.00914690888658787,2.044758451614142e-15
0.02039079969962181,-0.1542589660953043,-0.008169111593097125,2.113204519200617e-15
0.01875399910199026,-0.1624616027221349,-0.007318669211300919,5.766125056625042e-16
0.01795762421928236,-0.1664011931169924,-0.00690803170959956,1.604308793143118e-17
0.01719983410625453,-0.1701307364967031,-0.006517751491168176,3.898659640801631e-16
0.01579685324001812,-0.1769394758986445,-0.005801851137681232,8.853369021892389e-16
0.01450809061340671,-0.1829947229466033,-0.00515997449967107,8.583334890844672e-16
0.01332424927203728,-0.1883583170557658,-0.004585512055259178,3.545351749423009e-16
0.01230619343856176,-0.1928823756984125,-0.004098005522447119,7.34776879389439e-17
0.01178562529069339,-0.1951769013514344,-0.003849913018046279,3.006720610055689e-18
0.01123865924524502,-0.1975789555798782,-0.003588944344346674,-1.508863006572751e-17
0.01032224825987368,-0.2015514380423963,-0.003155979579899325,-1.328585398410341e-16
0.009480450591659043,-0.2051227863956387,-0.002764555722619747,-3.429715351974023e-16
0.008707190320723895,-0.2083251322566698,-0.002410890954853654,-5.703286493122793e-16
0.007996885981387834,-0.2111717805108345,-0.002091888014332667,-5.349712439697668e-16
0.007344410330164704,-0.2137301377380072,-0.001803430237190936,-4.39969751837807e-16
0.006745053382803193,-0.2160242078802194,-0.001543055504470808,-3.024218039660083e-16
0.006194488455225045,-0.2180750315934229,-0.001308511520836869,-1.333505570905845e-16
0.005881488899508663,-0.2192175518381724,-0.001177254074627485,-1.983575369555856e-17
0.005639755208434994,-0.2200828938299432,-0.001076687934764537,-9.214776134719764e-17
