y,U_0,U_1,U_2
0.1547195318069489,1.146551367291704,-0.08343881609988849,-2.793744024346947e-16
0.1484934079804426,1.133753640580968,-0.08331997548621413,-1.949194230598139e-16
0.1437377174984872,1.123286200617785,-0.08310288661761439,5.183593580610349e-17
0.1380145878120095,1.10857449380065,-0.08264138140778007,1.012592803689916e-16
0.1333064216019704,1.093311965209627,-0.08197755839728087,6.661731672804117e-17
0.1280460483596405,1.070867468355165,-0.08110157805725114,2.56927938765226e-16
0.1233851685696792,1.033664085045268,-0.07984732702207768,3.33466674239686e-17
0.1185504801454307,0.9900517208390699,-0.07846238445268797,2.806608686193535e-16
0.1139366981600448,0.9150573737303227,-0.07649837751280222,2.847165372330884e-17
0.1094934735218333,0.84035319576739,-0.07439817762058876,3.596617329746327e-16
0.1049265990034377,0.7449167518792164,-0.07007238954951209,6.726411440604648e-17
0.1008432033179303,0.6599078244614822,-0.06567062659671778,4.981149729081838e-16
0.09632302006902742,0.5702305190209697,-0.05814475852252418,1.524760194875859e-16
0.09257034960366786,0.4976081184141087,-0.05150367441488351,4.57611535841119e-16
0.08809667049541087,0.4158576311663437,-0.04274671323566401,3.634080483572981e-16
0.08464799527842595,0.3546714362564387,-0.03587355362961875,4.073120095579516e-16
0.08022070567284388,0.2790616290233244,-0.0269769840840807,6.865187609000584e-16
0.07705142652794093,0.2294117602237012,-0.02080136397117138,1.552666366865491e-16
0.0735156174200772,0.1758783132291657,-0.01398429656818111,1.259183265392809e-15
0.06975849747929203,0.1299952563989053,-0.007754282683865585,2.986141162054784e-16
0.06708280512601229,0.09968782009904723,-0.00359798552175178,6.060325217056849e-16
0.06279327237673288,0.05782674549733726,0.002237568009753593,9.83973104270815e-16
0.06028911689425946,0.03700679011832806,0.005136081058413792,2.069327270796092e-17
0.05803032402908392,0.01938462177900192,0.007570193564424196,1.101548339947645e-15
0.05374171862922937,-0.01098210458289105,0.01164275651572772,1.219445972962293e-15
0.05166572837974044,-0.02461035279962002,0.01339802237927213,6.175755740054436e-19
0.04975802459483428,-0.03673165690121902,0.01491230148964331,1.349673649057661e-15
0.04609903293147097,-0.05885883997489622,0.01755001007430243,2.327894565914504e-15
0.04376428807153837,-0.07201572194373479,0.01899952729359306,5.104095122247695e-16
0.04215469614136524,-0.08092446424055523,0.01994599788112388,9.293043077343303e-16
0.03964882904061102,-0.09453245140019115,0.02133796847897244,3.452211976630993e-15
0.03681126019441651,-0.1090364001168703,0.02268369044717092,2.117189589067667e-15
0.03512089942872199,-0.1174023661480851,0.02341161209286662,3.656854998369788e-16
0.03387296807597302,-0.1235095442484874,0.0239209029335916,1.039511491166405e-15
0.0318101339091347,-0.1334762532487445,0.02472085345345174,3.512062421457938e-15
0.02961031524664189,-0.1437027498392911,0.02547285664843853,3.817163086124222e-15
0.02758908780048866,-0.1527545443396643,0.02608057207026166,1.3779017364224e-15
0.02655539007393853,-0.1573204048564757,0.02637503467017711,8.411341372337992e-17
0.02566674219406525,-0.1612187620810663,0.02661430672012673,1.074336771081513e-15
0.02402752792888193,-0.1683351427685964,0.0270368192557472,3.256892844518815e-15
0.02246103188498784,-0.1749835308933953,0.02740477474640868,5.378235279183824e-15
0.02102182486445347,-0.1808775405555099,0.02770087646395555,3.701761534930614e-15
0.01969958341526887,-0.1861833881531784,0.02794992990079177,1.921731297634901e-15
0.01867443938364433,-0.1902263099146399,0.02812856177476953,5.322257307865032e-16
0.01809293527877619,-0.1925026759287942,0.02822559632859248,2.610752365724568e-16
0.01736950966771485,-0.1953158659530756,0.02834028253406488,1.255987210184128e-15
0.01634502583623388,-0.1992369812584067,0.02849141490923372,2.657130237928185e-15
0.01540384839494516,-0.2027600324819434,0.02861649040882573,3.93033391672273e-15
0.01453921041675513,-0.205921055842231,0.02871885737417393,5.08461998643223e-15
0.01374489310621622,-0.208733517115688,0.0287986835975157,4.860167812550162e-15
0.01301518159434461,-0.2112360445361881,0.02885967365617309,3.842320915902341e-15
0.01234482426581704,-0.2134657417968019,0.02890536107698645,2.917027961192097e-15
0.01172899534099892,-0.2154435356440308,0.02893709402099905,2.075933804322205e-15
0.01116326045615287,-0.2171879620254193,0.02895597480745691,1.313413569662948e-15
0.01064354500478456,-0.2187154306961074,0.02896290011113218,6.224605726922693e-16
0.01028146205853453,-0.2197308181173075,0.02896106023639907,1.470152437540379e-16
0.01005295519611165,-0.2203470343719418,0.02895635485215661,1.498372965367145e-16
0.009727853824257053,-0.221185312669245,0.02894429506714883,5.67120638153553e-16
0.00932524717394805,-0.2221499794431325,0.02891966746280821,1.075377830590355e-15
0.008955384806068551,-0.2229446122484884,0.02888506867010135,1.532491265411707e-15
0.008615600318417151,-0.2235779322286895,0.02884074204502485,1.943034018394622e-15
0.008303443802123413,-0.224057349581168,0.02878682702718521,2.310988675385347e-15
0.008016664260692259,-0.2243890261241731,0.02872336422255202,2.640269832558682e-15
0.00775319344836446,-0.2245779159702358,0.02865029750331683,2.934022922139419e-15
0.0075111310136545,-0.2246277843585689,0.02856747328627172,3.196425040937011e-15
0.007288730843118638,-0.2245412039301764,0.02847463701250277,3.429140127027456e-15
0.0070843885083467,-0.2243195268963196,0.02837142671401047,3.635023932811912e-15
0.006896629727432988,-0.2239628306158098,0.0282573634130878,3.816317824899513e-15
0.006724099758908614,-0.22346983301611,0.02813183795030684,3.975032143109322e-15
